kegiatan utama,indikator kegiatan utama,Rencana Aksi,output(Satuan),pic_pelaksana,target tw 1,target tw 2,target tw 3,target tw 4,capaian output tw 1,capaian output tw 2,capaian output tw 3,capaian output tw 4,status tw 1,status tw 2,status tw 3,status tw 4,Persentase Pencapaian Target
RB Mendorong Hilirisasi,Persentase tersedianya data PDB menurut provinsi sebagai data dukung dalam evaluasi pelaksanaan hilirisasi,Penyusunan publikasi Produk Domestik Regional Bruto Provinsi-Provinsi di Indonesia menurut Lapangan Usaha tahun 2020-2024,Laporan,DNP,0,1,1,1,0.5,1,0,0,Target Tercapai,Target Tercapai,Tidak Tercapai,Tidak Tercapai,
RB Mendorong Hilirisasi,Jumlah Draft KBLI 2025,Penyusunan Draft KBLI 2025,Draft Publikasi,DPMSS,0,0,0,1,0,0,0,1,Tidak Ada Target,Tidak Ada Target,Tidak Ada Target,Target Tercapai,
RB Mendorong Hilirisasi,jumlah laporan pembinaan klasifikasi kepada masyarakat dan K/L/D/I untuk mengimplementasikan KBLI dalam pengajuan perizinian usaha,Pembinaan klasifikasi kepada masyarakat maupun K/L/D/I dalam implementasi KBLI untuk perizinan usaha,Laporan,DPMSS,0,0,0,1,0,0,0,1,Tidak Ada Target,Tidak Ada Target,Tidak Ada Target,Target Tercapai,
RB Mendorong Hilirisasi,Ketersediaan data industri dalam rangka mewujudkan kebijakan berbasis data untuk mendorong hilirisasi,Pengolahan STPIM 2023,Publikasi,DSI,0,0,1,1,0,0,1,0,Tidak Ada Target,Tidak Ada Target,Target Tercapai,Tidak Tercapai,
RB Mendorong Hilirisasi,Jumlah laporan kegiatan persiapan SE2026 yang terlaksana,Pelaksanaan Geladi Bersih Pendataan Sensus Ekonomi 2026,Laporan,DSD,0,0,0,1,0,0,0,1,Tidak Ada Target,Tidak Ada Target,Tidak Ada Target,Target Tercapai,
PDN,Tersedianya data statistik industri dalam rangka mewujudkan kebijakan berbasis data untuk mendukung kebijakan Program P3DN,Pelaksanaan survei Industri Besar Sedang,Publikasi,DSI,0,0,1,5,0,0,2,5,Tidak Ada Target,Tidak Ada Target,Target Tercapai,Target Tercapai,
RB Mendorong Peningkatan Kualitas dan Akses Layanan Kesehatan,Jumlah publikasi CERDAS terkait kesehatan mental,Melakukan pengolahan data dan analisis untuk menjawab fenomena kesehatan mental dan bagaimana keterkaitan fasilitas kesehatan pendukungnya,Publikasi,DAPS,0,1,1,1,0,1,1,1,Tidak Ada Target,Target Tercapai,Target Tercapai,Target Tercapai,
RB Mendorong Peningkatan Kualitas dan Akses Layanan Kesehatan,Jumlah laporan kegiatan penjaminan kualitas melalui quality gates untuk kegiatan statistik yang mendukung dan mendorong peningkatan kualitas dan akses layanan kesehatan,Internalisasi Penjaminan Kualitas melalui Quality Gates untuk penanggung jawab/tim pada kegiatan statistik yang mendukung dan mendorong peningkatan kualitas dan akses layanan kesehatan,Laporan,DAPS,0,1,1,1,1,1,1,0,Target Tercapai,Target Tercapai,Target Tercapai,Tidak Tercapai,
RB Mendorong Peningkatan Kualitas dan Akses Layanan Kesehatan,Jumlah laporan kegiatan penjaminan kualitas melalui quality gates untuk kegiatan statistik yang mendukung dan mendorong peningkatan kualitas dan akses layanan kesehatan,Monitoring dan Evaluasi Implementasi Penjaminan Kualitas melalui Quality Gates untuk kegiatan statistik yang mendukung dan mendorong peningkatan kualitas dan akses layanan kesehatan,Laporan,DAPS,0,0,0,1,0,0,0,1,Tidak Ada Target,Tidak Ada Target,Tidak Ada Target,Target Tercapai,
RB Mendorong Peningkatan Kualitas dan Akses Layanan Kesehatan,Jumlah BRS Indeks Pembangunan Manusia,Melakukan Penyusunan BRS Indeks Pembangunan Manusia 2025 ,Laporan,DAPS,0,0,0,1,0,0,0,1,Tidak Ada Target,Tidak Ada Target,Tidak Ada Target,Target Tercapai,
RB Mendorong Peningkatan Kualitas dan Akses Layanan Kesehatan,Jumlah laporan kajian kemiskinan multidimensi,Melakukan kajian penyusunan indikator dimensi kesehatan dalam penghitungan kemiskinan multidimensi,Laporan,DAPS,0,0,0,1,0,0,0,1,Tidak Ada Target,Tidak Ada Target,Tidak Ada Target,Target Tercapai,
RB Mendorong Peningkatan Kualitas dan Akses Layanan Kesehatan,Jumlah set data dan analisis indikator kesehatan,"Melakukan survei Sosial Ekonomi Nasional Maret dan September 2025  

Melakukan Penyusunan publikasi statistik kesehatan hasil Susenas 2025 


","Persen 
Buku 

Publikasi",Dir. Kesra,0,0,0,1,0,0,0,1,Tidak Ada Target,Tidak Ada Target,Tidak Ada Target,Target Tercapai,
RB Mendorong Peningkatan Kualitas dan Akses Layanan Kesehatan,Daftar data yang dibutuhkan untuk pencegahan dan penanganan TBC dan Stunting,"Melakukan/mengikuti koordinasi dengan Kementerian Kesehatan, Kemenko PMK, dan K/L terkait lainnya",Persen,Dir. Kesra,0,0,0.3,1,0,0,0.3,0.7,Tidak Ada Target,Tidak Ada Target,Target Tercapai,Tidak Tercapai,
RB Mendorong Peningkatan Kualitas dan Akses Layanan Kesehatan,Data tenaga kesehatan yang mendapatkan bantuan perumahan,Memadankan data tenaga kesehatan dengan data yang tersedia di DTSEN,laporan/data,Dir. Kesra,0.5,1,1,1,0.5,1,1,0.9,Target Tercapai,Target Tercapai,Target Tercapai,Tidak Tercapai,
RB Mendorong Peningkatan Kualitas dan Akses Layanan Kesehatan,Data JKN (BPJS) dengan indikator sosek,Melakukan pemadanan data JKN dengan data DTSEN dan melakukan pemutahiran,Data,Dir. Kesra,0.1,0.5,0.75,1,0.1,0.5,0.75,0.9,Target Tercapai,Target Tercapai,Target Tercapai,Tidak Tercapai,
RB Mendorong Peningkatan Kualitas dan Akses Layanan Kesehatan,"1) Jumlah Desa/Kelurahan menurut ketersediaan dan akses ke fasilitas kesehatan;
2) Jumlah infastruktur kesehatan",Melakukan pengumpulan data Pemutakhiran Data Perkembangan Desa 2025 (Potensi Desa 2025),set data,Hansos,0.1,0.5,0.75,1,0.315789474,0.684210526,0.842105263,1,Target Tercapai,Target Tercapai,Target Tercapai,Target Tercapai,
RB Mendorong Peningkatan Kualitas dan Akses Layanan Kesehatan,Persentase diseminasi data kesehatan melalui Website BPS,Diseminasi data kesehatan pada website BPS sesuai jadwal rilis yang ditetapkan,Persentase,DDS,0,0,0,1,0,0,0,100,Tidak Ada Target,Tidak Ada Target,Tidak Ada Target,Target Tercapai,
RB Mendorong Peningkatan Kualitas dan Akses Layanan Kesehatan,"1. Dokumen
 metodologi/framework SAE 5 indikator
 2. Paket estimasi granular kab/kota untuk 5 indikator
 3. Validasi lapangan & peer review pakar
 4. Publikasi & diseminasi hasil

1. Belum tersedianya metodologi baku untuk menghasilkan beberapa indikator demografi tingkat kabupaten/kota.
2. Data terdisagregasi pada level kabupaten/kota memiliki tingkat akurasi rendah sehingga tidak memenuhi kelayakan publikasi.","Melakukan:
 TW1: metodologi & SOP selesai.
 TW2: estimasi kabupaten/kota + ǪC.
 TW3: validasi lapangan, peer review, policy brief
 TW4: publikasi, diseminasi..
Mempublikasikan angka resmi hasil kajian SAE indikator demografi tingkat kabupaten/kota.",#NAME?,Duknaker,0,0,0,0,0,0,0,0,Tidak Ada Target,Tidak Ada Target,Tidak Ada Target,Tidak Ada Target,
