kegiatan utama,indikator kegiatan utama,Rencana Aksi,output(Satuan),pic_pelaksana,target tw 1,target tw 2,target tw 3,target tw 4,capaian output tw 1,capaian output tw 2,capaian output tw 3,capaian output tw 4,status tw 1,status tw 2,status tw 3,status tw 4,Persentase Pencapaian Target
Penguatan Implementasi SPIP,Tingkat Maturitas SPIP,1. Evaluasi berkala atas penerapan kebijakn peraturan dilingkungan BPS ,Dokumen,Biro Perencanaan,0,0,0,1,0,0,0,0,Tidak Ada Target,Tidak Ada Target,Tidak Ada Target,Tidak Tercapai,0.75
Penguatan Implementasi SPIP,Tingkat Maturitas SPIP,2. Melaksanakan Penilaian Mandiri SPIP BPS,Laporan,Biro Perencanaan,0,0,1,1,0,0,1,1,Tidak Ada Target,Tidak Ada Target,Target Tercapai,Target Tercapai,1
Penguatan Implementasi SPIP,Tingkat Maturitas SPIP,3. Melaksanakan Pembinaan SPIP dan Manajemen Risiko,Laporan,Biro Perencanaan,0,0,0,1,0,0,1,1,Tidak Ada Target,Tidak Ada Target,Target Tercapai,Target Tercapai,1
Pembangunan Zona Integritas di Satuan Kerja,Tingkat Keberhasilan Pembangunan ZI,1. Pimpinan menetapkan target success rate pembangunan ZI sebesar minimal 60% pada Perjanjian Kinerja (PK) kepala BPS Provinsi,Dokumen,Inspektorat Wilayah III,1,1,1,1,1,0,0,0,Target Tercapai,Tidak Tercapai,Tidak Tercapai,Tidak Tercapai,0.25
Pembangunan Zona Integritas di Satuan Kerja,Tingkat Keberhasilan Pembangunan ZI,2. Pelaksanaan penilaian mandiri LKE ZI tahun 2025 atas seluruh satuan kerja BPS,Dokumen,Inspektorat Wilayah III,1,1,1,1,1,0,0,0,Target Tercapai,Tidak Tercapai,Tidak Tercapai,Tidak Tercapai,0.25
Pembangunan Zona Integritas di Satuan Kerja,Tingkat Keberhasilan Pembangunan ZI,3. Pelaksanaan evaluasi pembangunan ZI tahun 2025,Persen,Inspektorat Wilayah III,0,1,1,1,0,1,0,0,Tidak Ada Target,Target Tercapai,Tidak Tercapai,Tidak Tercapai,0.5
Pembangunan Zona Integritas di Satuan Kerja,Tingkat Keberhasilan Pembangunan ZI,4. Optimalisasi peran Tim TPI dan TPP dalam Penilaian evaluasi pembangunan ZI tahun 2025,Persen,Inspektorat Wilayah III,1,1,1,1,1,0,0,0,Target Tercapai,Tidak Tercapai,Tidak Tercapai,Tidak Tercapai,0.25
Pembangunan Zona Integritas di Satuan Kerja,Tingkat Keberhasilan Pembangunan ZI,5. Tersusunnya Pedoman dan Dashboard evaluasi pembangunan ZI tahun 2025,Persen,Inspektorat Wilayah III,1,1,1,1,1,0,0,0,Target Tercapai,Tidak Tercapai,Tidak Tercapai,Tidak Tercapai,0.25
Pembangunan Zona Integritas di Satuan Kerja,Tingkat Keberhasilan Pembangunan ZI,6. Sharing session satker WBK/WBBM ,Persen,Inspektorat Wilayah III,0,0,1,1,0,0,1,0,Tidak Ada Target,Tidak Ada Target,Target Tercapai,Tidak Tercapai,0.75
Pembangunan Zona Integritas di Satuan Kerja,Tingkat Keberhasilan Pembangunan ZI,7. Pelaksanaan pembinaan pembangunan ZI tahun 2025,Persen,Inspektorat Wilayah III,1,1,1,1,1,1,0,0,Target Tercapai,Target Tercapai,Tidak Tercapai,Tidak Tercapai,0.5
