indikator_utama,penyesuaian_tema,rencana_aksi_desc,satuan,pic_pelaksana,tw4_kendala,tw4_solusi,tw1_target,tw1_capaian,tw1_status,tw2_target,tw2_capaian,tw2_status,tw3_target,tw3_capaian,tw3_status,tw4_target,tw4_capaian,tw4_status
RB Mendorong Hilirisasi,RB Mendorong Hilirisasi,Penyusunan publikasi Produk Domestik Regional Bruto Provinsi-Provinsi di Indonesia menurut Lapangan Usaha tahun 2020-2024,Laporan,DNP,,,0.0,100.0,Tercapai Lebih Awal,100.0,100.0,Tercapai,1.0,0.0,Belum Tercapai Pada TW Ini,1.0,0.0,Belum Tercapai Pada TW Ini
RB Mendorong Hilirisasi,RB Mendorong Hilirisasi,Penyusunan Draft KBLI 2025,Draft Publikasi,DPMSS,Terbitnya Perban KBLI 2025 berimplikasi pada penyesuaian Peraturan di beberapa K/L,Koordinasi lintas sektor untuk mendukung proses implementasi KBLI 2025 berjalan lancar,0.0,0.0,Belum Ada Target Pada TW Ini,0.0,0.0,Belum Ada Target Pada TW Ini,0.0,0.0,Belum Ada Target Pada TW Ini,1.0,100.0,Tercapai
RB Mendorong Hilirisasi,RB Mendorong Hilirisasi,Pembinaan klasifikasi kepada masyarakat maupun K/L/D/I dalam implementasi KBLI untuk perizinan usaha,Laporan,DPMSS,,,0.0,0.0,Belum Ada Target Pada TW Ini,0.0,0.0,Belum Ada Target Pada TW Ini,0.0,0.0,Belum Ada Target Pada TW Ini,1.0,100.0,Tercapai
RB Mendorong Hilirisasi,RB Mendorong Hilirisasi,Pengolahan STPIM 2023,Publikasi,DSI,,,0.0,0.0,Belum Ada Target Pada TW Ini,0.0,0.0,Belum Ada Target Pada TW Ini,1.0,100.0,Tercapai,1.0,0.0,Belum Tercapai Pada TW Ini
RB Mendorong Hilirisasi,RB Mendorong Hilirisasi,Pelaksanaan Geladi Bersih Pendataan Sensus Ekonomi 2026,Laporan,DSD,"- Dinamika perubahan kuesioner pendataan lengkap SE2026 menyebabkan perlunya pengujian kembali kuesioner, dan penghitungan kembali estimasi waktu yang dibutuhkan untuk pencacahan lapangan yang implikasinya adalah adanya perubahan jumlah petugas yang dibutuhkan.
","- Dilakukan Uji coba cepat (UCC) yang dilakukan oleh pegawai BPS sebagai  petugas pendataan lapangan, dengan responden usaha di sekitar.
- Dilakukan uji coba pendataan lengkap (dengan kuesioner yang sudah mencakup keterangan sosial ekonomi sampai dengan level keluarga) di 3 (tiga) kabupaten/kota.
- Dilakukan pengujian kuesioner final (dengan kuesioner yang sudah mencakup keterangan sosial ekonomi sampai dengan level anggota keluarga) di 3 (tiga) kabupaten/kota
- Dilakukan pengolahan paradata hasil pengujian kuesioner yang menghasilakan estimasi waktu pendataan, yang selanjutnya digunakan untuk penghitungan kembali kebutuhan petugas lapangan.",0.0,0.0,Belum Ada Target Pada TW Ini,0.0,0.0,Belum Ada Target Pada TW Ini,0.0,0.0,Belum Ada Target Pada TW Ini,1.0,100.0,Tercapai
PDN,RB Mendorong Hilirisasi,Pelaksanaan survei Industri Besar Sedang,Publikasi,DSI,Pengolahan dan analisis data membutuhkan waktu lebih lama karena beban kerja tim teknis salah satunya kegiatan survei IBS Triwulanan,"Kolaborasi dengan tim lain menyelesaikan permasalahan Survei IBS Triwulanan, sehingga dapat mengurangi beban mempercepat penyusunan publikasi yang ditargetkan.",0.0,0.0,Belum Ada Target Pada TW Ini,0.0,0.0,Belum Ada Target Pada TW Ini,1.0,100.0,Tercapai Melebihi Target,5.0,100.0,Tercapai
RB Mendorong Peningkatan Kualitas dan Akses Layanan Kesehatan,RB Mendorong Peningkatan Kualitas dan Akses Layanan Kesehatan,Melakukan pengolahan data dan analisis untuk menjawab fenomena kesehatan mental dan bagaimana keterkaitan fasilitas kesehatan pendukungnya,Publikasi,DAPS,Terbatasnya cakupan penelitian hasil kualitatif karena waktu penelitian indepth study terbatas,Memaksimalkan kegiatan indepth study dan memanfaatkan study literatur terkait,0.0,0.0,Belum Ada Target Pada TW Ini,1.0,100.0,Tercapai,1.0,100.0,Tercapai,1.0,100.0,Tercapai
RB Mendorong Peningkatan Kualitas dan Akses Layanan Kesehatan,RB Mendorong Peningkatan Kualitas dan Akses Layanan Kesehatan,Internalisasi Penjaminan Kualitas melalui Quality Gates untuk penanggung jawab/tim pada kegiatan statistik yang mendukung dan mendorong peningkatan kualitas dan akses layanan kesehatan,Laporan,DAPS,,,0.0,100.0,Tercapai Lebih Awal,1.0,100.0,Tercapai,1.0,100.0,Tercapai,1.0,0.0,Belum Tercapai Pada TW Ini
RB Mendorong Peningkatan Kualitas dan Akses Layanan Kesehatan,RB Mendorong Peningkatan Kualitas dan Akses Layanan Kesehatan,Monitoring dan Evaluasi Implementasi Penjaminan Kualitas melalui Quality Gates untuk kegiatan statistik yang mendukung dan mendorong peningkatan kualitas dan akses layanan kesehatan,Laporan,DAPS,Masih terdapat gates yang sedang berjalan hingga desember 2025,penulisan laporan Quality Gates dibatasi hingga gates yang telah berjalan sampai awal desember 2025. untuk gates yang masih berjalan diberi keterangan TBD (to be Discussed),0.0,0.0,Belum Ada Target Pada TW Ini,0.0,0.0,Belum Ada Target Pada TW Ini,0.0,0.0,Belum Ada Target Pada TW Ini,1.0,100.0,Tercapai
RB Mendorong Peningkatan Kualitas dan Akses Layanan Kesehatan,RB Mendorong Peningkatan Kualitas dan Akses Layanan Kesehatan,Melakukan Penyusunan BRS Indeks Pembangunan Manusia 2025 ,Laporan,DAPS,Tidak ada kendala yang dihadapi saat merilis angka IPM karena sudah diantisipasi dengan agenda percepatan rilis,,0.0,0.0,Belum Ada Target Pada TW Ini,0.0,0.0,Belum Ada Target Pada TW Ini,0.0,0.0,Belum Ada Target Pada TW Ini,1.0,100.0,Tercapai
