no,rencana_aksi_desc,satuan,indikator_output,periode_tw,target_penyelesaian
1,1. Diskusi dengan MenPANRB untuk penjelasan lebih detail terkait LHE,Kegiatan,Laporan Rencana Tindak Lanjut rekomendasi AKIP BPS 2026,tw1,0
1,2. Benchmarking ke K/L untuk mendapatkan saran masukan proses perencanaan kinerja berbasis results chain,Kegiatan,Laporan benchmarking ke K/L,tw1,0
1,3. Penyusunan reviu Indikator Kinerja Utama 2025-2029,Persen,Draf Reviu Perka IKU 2025-2029,tw1,25
1,4. Perbaikan CSF sehingga keterkaitan logis menjadi lebih jelas,Dokumen,Dokumen Perencanaan Kinerja yang memuat perbaikan CSF BPS,tw1,0
1,5. Perbaikan dokumen pohon kinerja yang konsisten dari tingkat organisasi hingga unit kerja,Dokumen,Dokumen Perencanaan Kinerja yang memuat perbaikan pohon kinerja BPS,tw1,0
1,"1. Penyusunan croscutting kinerja yang memuat peran kontribusi internal BPS dan eksternal BPS, penajaman pada KP dan PN serta Prioritas Presiden (Inpres)",Dokumen,Dokumen Perencanaan Kinerja yang memuat crosscutting kinerja BPS,tw1,0
1,1. Pemeriksaan Kertas Kerja Monitoring Kinerja Unit Kerja dan Satuan Kerja BPS Provinsi,Dokumen,Dokumen Kertas Kerja Pemeriksaan Monev SAKIP Triwulanan,tw1,1
1,"2. Penyesuaian proses bisnis Pembahasan Rapat Monitoring Kinerja Triwulanan telah membahas terkait rencana aksi yg logis terukur serta kejelasan hubungan antara aksi, output, hingga pencapaian outcome",Dokumen,Template notula rapat monitoring kinerja triwulanan,tw1,0
1,1. Penggunaan fitur Perencanaan Kinerja dan sinkronisasi data PK di SINERGI dan Kip App,Persen,Persentase data PK yg disinkronkan dari SINERGI ke KIP APP,tw1,100
1,1. Penyusunan pedoman teknis Pelaporan Kinerja BPS,Dokumen,Dokumen pedoman teknis Laporan Kinerja BPS,tw1,1
1,2. Pemeriksaan substansi LAKIN Unit Kerja dan Satker BPS Provinsi,Dokumen,Dokumen kertas kerja pemeriksaan LAKIN Unit Kerja dan Satker BPS Provinsi,tw1,1
1,3. Pembinaan SAKIP ,Dokumen,Laporan Pembinaan SAKIP,tw1,0
